AyahRef,Word,Meaning,Highlight
5:2,"وَتَعَاوَنُواْ عَلَى ٱلۡبِرِّ وَٱلتَّقۡوَىٰۖ وَلَا تَعَاوَنُواْ عَلَى ٱلۡإِثۡمِ وَٱلۡعُدۡوَٰنِۚ ","Then perhaps you would kill yourself through grief over them, [O Muhammad], if they do not believe in this message, [and] out of sorrow. (18:6)",ٱلتَّقۡوَىٰۖ
2:197,"وَتَزَوَّدُواْ فَإِنَّ خَيۡرَ ٱلزَّادِ ٱلتَّقۡوَىٰۖ ",Good thing,
,شَهِيد,"Have you not considered how Allah presents an example, [making] a good word like a good tree, (14:24)",شَهِيدٗاۗ
2:143,"وَكَذَٰلِكَ جَعَلۡنَٰكُمۡ أُمَّةٗ وَسَطٗا لِّتَكُونُواْ شُهَدَآءَ عَلَى ٱلنَّاسِ وَيَكُونَ ٱلرَّسُولُ عَلَيۡكُمۡ شَهِيدٗاۗ ",eat from whatever is on earth [that is] lawful and good and do not follow the footsteps of Satan. (2:168),شَهِيدًا
4:33,"إِنَّ ٱللَّهَ كَانَ عَلَىٰ كُلِّ شَيۡءٖ شَهِيدًا ",Good things,
,شُهَدَاء,"O you who have believed, eat from the good things which We have provided for you and be grateful to Allah (2:172)",شُهَدَآءَ
2:143,"وَكَذَٰلِكَ جَعَلۡنَٰكُمۡ أُمَّةٗ وَسَطٗا لِّتَكُونُواْ شُهَدَآءَ عَلَى ٱلنَّاسِ وَيَكُونَ ٱلرَّسُولُ عَلَيۡكُمۡ شَهِيدٗاۗ ","O you who have believed, spend from the good things which you have earned (2:267)",
,شُهَدَاء,Reward/ Compensation,شُهَدَآءَۗ
3:140,"وَلِيَعۡلَمَ ٱللَّهُ ٱلَّذِينَ ءَامَنُواْ وَيَتَّخِذَ مِنكُمۡ شُهَدَآءَۗ وَٱللَّهُ لَا يُحِبُّ ٱلظَّٰلِمِينَ ",For those who did good among them and feared Allah is a great reward - (3:172),
,مُبِين,Rewards/ Compensations,مُّبِينٞ
2:208,"وَلَا تَتَّبِعُواْ خُطُوَٰتِ ٱلشَّيۡطَٰنِۚ إِنَّهُۥ لَكُمۡ عَدُوّٞ مُّبِينٞ ",and you will only be given your [full] compensation on the Day of Resurrection. (3:185),مُّبِينٗا
4:101,"إِنَّ ٱلۡكَٰفِرِينَ كَانُواْ لَكُمۡ عَدُوّٗا مُّبِينٗا ",That He may give them in full their rewards and increase for them of His bounty. (35:30),
,نُور,Day,نُورٞ
5:15,"قَدۡ جَآءَكُم مِّنَ ٱللَّهِ نُورٞ وَكِتَٰبٞ مُّبِينٞ ",Sovereign of the Day of Recompense. (1:4),نُورٞۚ
5:44,"إِنَّآ أَنزَلۡنَا ٱلتَّوۡرَىٰةَ فِيهَا هُدٗى وَنُورٞۚ ","they said, ""There is no power for us today against Goliath and his soldiers."" 2:249",
,سَلَٰم,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers. (2:8)",سَلَٰمٌ
6:54,"وَإِذَا جَآءَكَ ٱلَّذِينَ يُؤۡمِنُونَ بِـَٔايَٰتِنَا فَقُلۡ سَلَٰمٌ عَلَيۡكُمۡۖ ",Days,ٱلسَّلَٰمِ
5:16,"يَهۡدِي بِهِ ٱللَّهُ مَنِ ٱتَّبَعَ رِضۡوَٰنَهُۥ سُبُلَ ٱلسَّلَٰمِ "," And they say, ""Never will the Fire touch us, except for a few days."" (2:80)",
,مُلۡك,"That day, then",مُلۡكُ
5:17,"وَلِلَّهِ مُلۡكُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَاۚ ", And the weighing [of deeds] that Day will be the truth. (7:8),ٱلۡمُلۡكَ
2:251,"وَقَتَلَ دَاوُۥدُ جَالُوتَ وَءَاتَىٰهُ ٱللَّهُ ٱلۡمُلۡكَ وَٱلۡحِكۡمَةَ ","And We will leave them that day surging over each other, (18:99)",
,سُلۡطَٰن,Resurrection,سُلۡطَٰنٗا
4:91,"وَأُوْلَٰٓئِكُمۡ جَعَلۡنَا لَكُمۡ عَلَيۡهِمۡ سُلۡطَٰنٗا مُّبِينٗا ",But Allah will judge between them on the Day of Resurrection concerning that over which they used to differ. (2:113),
,سُلۡطَٰن,"He will surely assemble you for [account on] the Day of Resurrection, about which there is no doubt. (4:87)",سُلۡطَٰنٗا
22:71,"وَيَعۡبُدُونَ مِن دُونِ ٱللَّهِ مَا لَمۡ يُنَزِّلۡ بِهِۦ سُلۡطَٰنٗا ",An hour (The Hour),
,"إِلَٰه ","until when the Hour [of resurrection] comes upon them unexpectedly, they will say, ""Oh, [how great is] our regret (6:31)",إِلَٰهَ
3:2,"ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَ ٱلۡحَيُّ ٱلۡقَيُّومُ ","So when their time has come, they will not remain behind an hour, nor will they precede [it]. (7:34)",إِلَٰهَكَ ، إِلَٰهَ ، إِلَٰهٗا
2:133,"قَالُواْ نَعۡبُدُ إِلَٰهَكَ وَ إِلَٰهَ ءَابَآئِكَ إِبۡرَٰهِـۧمَ وَإِسۡمَٰعِيلَ وَإِسۡحَٰقَ إِلَٰهٗا وَٰحِدٗا ",Allah has already forgiven the Prophet and the Muhajireen and the Ansar who followed him in the hour of difficulty (9:117),
,إءَالِهَة,Term,ءَالِهَةً
6:19,"أَئِنَّكُمۡ لَتَشۡهَدُونَ أَنَّ مَعَ ٱللَّهِ ءَالِهَةً أُخۡرَىٰۚ قُل لَّآ أَشۡهَدُۚ ","And for every nation is a [specified] term. So when their time has come, they will not remain behind an hour, (7:34)",
,وَاحِد,"But when We removed the punishment from them until a term which they were to reach, then at once they broke their word. (7:135) ",وَٰحِدٗا
2:133,"قَالُواْ نَعۡبُدُ إِلَٰهَكَ وَإِلَٰهَ ءَابَآئِكَ إِبۡرَٰهِـۧمَ وَإِسۡمَٰعِيلَ وَإِسۡحَٰقَ إِلَٰهٗا وَٰحِدٗا ",Specific,وَٰحِدٗا
9:31,"وَمَآ أُمِرُوٓاْ إِلَّا لِيَعۡبُدُوٓاْ إِلَٰهٗا وَٰحِدٗا ",and then decreed a term and a specified time [known] to Him; (6:2) ,
,أَحَد,"O you who have believed, when you contract a debt for a specified term, write it down. (2:282)",أَحَدٌ
112:1,قُلۡ هُوَ ٱللَّهُ أَحَدٌ,Account,
,أَحَد,"Those will have a share of what they have earned, and Allah is swift in account. (2:202)",أَحَدًا
33:39,"ٱلَّذِينَ يُبَلِّغُونَ رِسَٰلَٰتِ ٱللَّهِ وَيَخۡشَوۡنَهُۥ وَلَا يَخۡشَوۡنَ أَحَدًا إِلَّا ٱللَّهَۗ ","And whoever disbelieves in the verses of Allah, then indeed, Allah is swift in [taking] account. (3:19)",
,"شَرِيك ",The Hereafter,شَرِيكَ
6:163,"قُلۡ إِنَّ صَلَاتِي وَنُسُكِي وَمَحۡيَايَ وَمَمَاتِي لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ١٦٢لَا شَرِيكَ لَهُ  ","And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith]. (2:4)",
,شُرَكَآء,"And We had chosen him in this world, and indeed he, in the Hereafter, will be among the righteous. (2:130)",شُرَكَآءَ
7:190,"فَلَمَّآ ءَاتَىٰهُمَا صَٰلِحٗا جَعَلَا لَهُۥ شُرَكَآءَ فِيمَآ ءَاتَىٰهُمَاۚ ","Forever, ever",شُرَكَآءَ
6:100,وَجَعَلُواْ لِلَّهِ شُرَكَآءَ ٱلۡجِنَّ وَخَلَقَهُمۡۖ,"They said, ""O Moses, indeed we will not enter it, ever, as long as they are within it; (5:24)",
,غَيۡب,"and He has prepared for them gardens beneath which rivers flow, wherein they will abide forever. (9:100) ",ٱلۡغَيۡبَ
7:188,"وَلَوۡ كُنتُ أَعۡلَمُ ٱلۡغَيۡبَ لَٱسۡتَكۡثَرۡتُ مِنَ ٱلۡخَيۡرِ وَمَا مَسَّنِيَ ٱلسُّوٓءُۚ ",End,غَيۡبَ
2:33,"قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّيٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ ",so proceed throughout the earth and observe how was the end of those who denied. (3:137),
,شَهَٰدَة,"Say, ""Travel through the land; then observe how was the end of the deniers."" (6:11)",ٱلشَّهَٰدَةِ
62:8,"ثُمَّ تُرَدُّونَ إِلَىٰ عَٰلِمِ ٱلۡغَيۡبِ وَٱلشَّهَٰدَةِ فَيُنَبِّئُكُم بِمَا كُنتُمۡ تَعۡمَلُونَ ","Hell Fire, hell",ٱلشَّهَٰدَةِ
13:9,"عَٰلِمُ ٱلۡغَيۡبِ وَٱلشَّهَٰدَةِ ٱلۡكَبِيرُ ٱلۡمُتَعَالِ "," [It is but] a small enjoyment; then their [final] refuge is Hell, and wretched is the resting place. (3:197)",
,عَرَش," Fire ",ٱلۡعَرۡشِ
20:5,ٱلرَّحۡمَٰنُ عَلَى ٱلۡعَرۡشِ ٱسۡتَوَىٰ,"And whoever disobeys Allah and His Messenger and transgresses His limits - He will put him into the Fire to abide eternally therein, (4:14)",ٱلۡعَرۡشِ
9:129,"لَآ إِلَٰهَ إِلَّا هُوَۖ عَلَيۡهِ تَوَكَّلۡتُۖ وَهُوَ رَبُّ ٱلۡعَرۡشِ ٱلۡعَظِيمِ ",Woe to,
,"كِتَاب ",so woe to those who disbelieved - from the scene of a tremendous Day. (19:37),ٱلۡكِتَٰبُ
2:2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,"So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" (2:79)",كِتَابِ
18:27,"وَٱتۡلُ مَآ أُوحِيَ إِلَيۡكَ مِن كِتَابِ رَبِّكَۖ ",Penalty,
,كُتُب,"Each of them denied the messengers, so My penalty was justified. (38:14)",كُتُبِهِۦ
2:285,"كُلٌّ ءَامَنَ بِٱللَّهِ وَمَلَٰٓئِكَتِهِۦ وَكُتُبِهِۦ وَرُسُلِهِۦ لَا نُفَرِّقُ بَيۡنَ أَحَدٖ مِّن رُّسُلِهِۦ  ", Know that Allah is severe in penalty and that Allah is Forgiving and Merciful. (5:98),
,"كَلِمَة ",Punishment,كَلِمَةَ
9:74,"يَحۡلِفُونَ بِٱللَّهِ مَا قَالُواْ وَلَقَدۡ قَالُواْ كَلِمَةَ ٱلۡكُفۡرِ وَكَفَرُواْ "," For them in this world is disgrace, and they will have in the Hereafter a great punishment. (2:114)",بِكَلِمَةٖ
3:45,"يَٰمَرۡيَمُ إِنَّ ٱللَّهَ يُبَشِّرُكِ بِكَلِمَةٖ مِّنۡهُ ٱسۡمُهُ ٱلۡمَسِيحُ عِيسَى ٱبۡنُ مَرۡيَمَ ","Say, ""Indeed I fear, if I should disobey my Lord, the punishment of a tremendous Day."" (6:15)",
,كَلِمَٰت,Painful,لِكَلِمَٰتِ
10:64,"لَا تَبۡدِيلَ لِكَلِمَٰتِ ٱللَّهِۚ ذَٰلِكَ هُوَ ٱلۡفَوۡزُ ٱلۡعَظِيمُ ",will have a drink of scalding water and a painful punishment for what they used to deny. (10:4),
,"مَلَك ",But whoever transgresses after that will have a painful punishment. (2:178),مَلَكٞۖ
6:8,"وَقَالُواْ لَوۡلَآ أُنزِلَ عَلَيۡهِ مَلَكٞۖ ",Reward/ Recompense,
,مَلَٰٓئِكَة,"But they who have earned [blame for] evil doings - the recompense of an evil deed is its equivalent, and humiliation will cover them. (10:27)",لِلۡمَلَٰٓئِكَةِ
18:50,"وَإِذۡ قُلۡنَا لِلۡمَلَٰٓئِكَةِ ٱسۡجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْ إِلَّآ إِبۡلِيسَ ","But as for one who believes and does righteousness, he will have a reward of Paradise, (18:88)",
,عَهۡد,Reward,عَهۡدَ
2:27,"ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَٰقِهِۦ ",and the enduring good deeds are better to your Lord for reward and better for recourse. (19:76),بِعَهۡدِيٓ
2:40,"وَأَوۡفُواْ بِعَهۡدِيٓ أُوفِ بِعَهۡدِكُمۡ وَإِيَّٰيَ فَٱرۡهَبُونِ ",and whoever desires the reward of the Hereafter - We will give him thereof. (3:145),
,مِيثَٰق,Paradise/ garden,مِيثَٰقَ
2:83,"وَإِذۡ أَخَذۡنَا مِيثَٰقَ بَنِيٓ إِسۡرَٰٓءِيلَ لَا تَعۡبُدُونَ إِلَّا ٱللَّهَ ",So he who is drawn away from the Fire and admitted to Paradise has attained [his desire]. (3:185),مِيثَٰقَكُمۡ
2:84,"وَإِذۡ أَخَذۡنَا مِيثَٰقَكُمۡ لَا تَسۡفِكُونَ دِمَآءَكُمۡ وَلَا تُخۡرِجُونَ أَنفُسَكُم ",Paradise/ gardens,
,إِذۡن,And give good tidings to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. (2:25),بِإِذۡنِ
2:102,"وَمَا هُم بِضَآرِّينَ بِهِۦ مِنۡ أَحَدٍ إِلَّا بِإِذۡنِ ٱللَّهِۚ ",This world (present life),بِإِذۡنِ
2:251,"فَهَزَمُوهُم بِإِذۡنِ ٱللَّهِ وَقَتَلَ دَاوُۥدُ جَالُوتَ ","Those are the ones who have bought the life of this world [in exchange] for the Hereafter, (2:86)",
,"شَيۡطَٰن ","And We had chosen him in this world, and indeed he, in the Hereafter, will be among the righteous. (2:130)",ٱلشَّيۡطَٰنُ
2:268,"ٱلشَّيۡطَٰنُ يَعِدُكُمُ ٱلۡفَقۡرَ وَيَأۡمُرُكُم بِٱلۡفَحۡشَآءِۖ ",Worlds,
,شَيَٰطِين,"[All] praise is [due] to Allah, Lord of the worlds (1:2)",شَيَٰطِينَ
6:112,"وَكَذَٰلِكَ جَعَلۡنَا لِكُلِّ نَبِيٍّ عَدُوّٗا شَيَٰطِينَ ٱلۡإِنسِ وَٱلۡجِنِّ ","When his Lord said to him, ""Submit"", he said ""I have submitted [in Islam] to the Lord of the worlds."" (2:131)",
,"عَمَل ",Wealth,عَمَلَ
10:81,"إِنَّ ٱللَّهَ لَا يُصۡلِحُ عَمَلَ ٱلۡمُفۡسِدِينَ ","Indeed, those who disbelieve - never will their wealth or their children avail them against Allah at all. (3:10)",
,أَعۡمَٰل,"And We will surely test you with something of fear and hunger and a loss of wealth and lives and fruits, (2:155) ",أَعۡمَٰلٞ
23:63,"وَلَهُمۡ أَعۡمَٰلٞ مِّن دُونِ ذَٰلِكَ هُمۡ لَهَا عَٰمِلُونَ ",House,
,"حَسَنَة ","My Lord, forgive me and my parents and whoever enters my house a believer and the believing men and believing women. (71:28)",حَسَنَةٖ
4:79,"مَّآ أَصَابَكَ مِنۡ حَسَنَةٖ فَمِنَ ٱللَّهِۖ وَمَآ أَصَابَكَ مِن سَيِّئَةٖ فَمِن نَّفۡسِكَۚ ","she said, ""My Lord, build for me near You a house in Paradise and save me from Pharaoh (66:11)",
,حَسَنَٰت,The Ka’ba,ٱلۡحَسَنَٰتِ
11:114,"إِنَّ ٱلۡحَسَنَٰتِ يُذۡهِبۡنَ ٱلسَّيِّـَٔاتِۚ ","For the accustomed security of the Quraysh - (1) Their accustomed security [in] the caravan of winter and summer - (2) Let them worship the Lord of this House, (3) (106:1-3)",
,"سَيِّئَة ",And [mention] when We made the House a place of return for the people and [a place of] security. (2:125),سَيِّئَةٞ
4:78,"وَإِن تُصِبۡهُمۡ سَيِّئَةٞ يَقُولُواْ هَٰذِهِۦ مِنۡ عِندِكَۚ  ",Home,
,سَيِّئَات,For them will be the Home of Peace with their Lord. And He will be their protecting friend protector because of what they used to do. (6:127),ٱلسَّيِّـَٔاتِ
4:18,"وَلَيۡسَتِ ٱلتَّوۡبَةُ لِلَّذِينَ يَعۡمَلُونَ ٱلسَّيِّـَٔاتِ حَتَّىٰٓ إِذَا حَضَرَ أَحَدَهُمُ ٱلۡمَوۡتُ ","So the earthquake seized them, and they became within their home [corpses] fallen prone. (7:91)",
,خَيۡر,Homes,خَيۡرٖ
28:24,"رَبِّ إِنِّي لِمَآ أَنزَلۡتَ إِلَيَّ مِنۡ خَيۡرٖ فَقِيرٞ ","Have you not considered those who left their homes in many thousands, (2:243)",خَيۡرَ
28:26,"إِنَّ خَيۡرَ مَنِ ٱسۡتَـٔۡجَرۡتَ ٱلۡقَوِيُّ ٱلۡأَمِينُ ",Provision/ enjoyment,
,شَرّ," But what is the enjoyment of worldly life compared to the Hereafter except a [very] little. (9:38)",لَشَرَّ
38:55,"هَٰذَاۚ وَإِنَّ لِلطَّٰغِينَ لَشَرَّ مَـَٔابٖ ","O mankind, your injustice is only against yourselves, [being merely] the enjoyment of worldly life. (10:23)",شَرَّ
8:22,إِنَّ شَرَّ ٱلدَّوَآبِّ عِندَ ٱللَّهِ ٱلصُّمُّ ٱلۡبُكۡمُ ٱلَّذِينَ لَا يَعۡقِلُونَ,"Place, in place of",
,إِثۡم,"So she conceived him, and she withdrew with him to a remote place. (19:22)",إِثۡمَ
2:203,"فَمَن تَعَجَّلَ فِي يَوۡمَيۡنِ فَلَآ إِثۡمَ عَلَيۡهِ وَمَن تَأَخَّرَ فَلَآ إِثۡمَ عَلَيۡهِۖ ","And when We substitute a verse in place of a verse - and Allah is most knowing of what He sends down - they say, ""You, [O Muhammad], are but an inventor [of lies]."" (16:101)",بِٱلۡإِثۡمِۚ
2:206,"وَإِذَا قِيلَ لَهُ ٱتَّقِ ٱللَّهَ أَخَذَتۡهُ ٱلۡعِزَّةُ بِٱلۡإِثۡمِۚ ",City/ Town,
,"ذَنۢب ","And [recall] when We said, ""Enter this city and eat from it wherever you will in [ease and] abundance, (2:58)",ٱلذَّنۢبِ
40:3,"غَافِرِ ٱلذَّنۢبِ وَقَابِلِ ٱلتَّوۡبِ شَدِيدِ ٱلۡعِقَابِ ذِي ٱلطَّوۡلِۖ ",Or [consider such an example] as the one who passed by a township which had fallen into ruin. (2:259),
,ذُنُوب,Cities/ Towns,ذُنُوبَنَا
3:16,"رَبَّنَآ إِنَّنَآ ءَامَنَّا فَٱغۡفِرۡ لَنَا ذُنُوبَنَا وَقِنَا عَذَابَ ٱلنَّارِ ","And this is a Book which We have sent down, blessed and confirming what was before it, that you may warn the Mother of Cities and those around it. (6:92)",
,جُنَاح,That is because your Lord would not destroy the cities for wrongdoing while their people were unaware. (6:131),جُنَاحٌ
2:198,"لَيۡسَ عَلَيۡكُمۡ جُنَاحٌ أَن تَبۡتَغُواْ فَضۡلٗا مِّن رَّبِّكُمۡۚ ",City,جُنَاحَ
33:51,"وَمَنِ ٱبۡتَغَيۡتَ مِمَّنۡ عَزَلۡتَ فَلَا جُنَاحَ عَلَيۡكَۚ ","Indeed, this is a conspiracy which you conspired in the city to expel therefrom its people. (7:123)",
,حَرَام,"And women in the city said, ""The wife of al-'Azeez is seeking to seduce her slave boy; (12:30)",حَرَامٞ
16:116,"وَلَا تَقُولُواْ لِمَا تَصِفُ أَلۡسِنَتُكُمُ ٱلۡكَذِبَ هَٰذَا حَلَٰلٞ وَهَٰذَا حَرَامٞ لِّتَفۡتَرُواْ عَلَى ٱللَّهِ ٱلۡكَذِبَۚ ",Madinah/ the city,
,حَلَٰل,"and [also] from the people of Madinah. They have become accustomed to hypocrisy. You, [O Muhammad], do not know them, (9:101)",حَلَٰلٞ
16:116,"وَلَا تَقُولُواْ لِمَا تَصِفُ أَلۡسِنَتُكُمُ ٱلۡكَذِبَ هَٰذَا حَلَٰلٞ وَهَٰذَا حَرَامٞ لِّتَفۡتَرُواْ عَلَى ٱللَّهِ ٱلۡكَذِبَۚ ","They say, ""If we return to al-Madinah, the more honored [for power] will surely expel therefrom the more humble."" (63:8)",حَلَٰلٗا
2:168,"كُلُواْ مِمَّا فِي ٱلۡأَرۡضِ حَلَٰلٗا طَيِّبٗا وَلَا تَتَّبِعُواْ خُطُوَٰتِ ٱلشَّيۡطَٰنِۚ ",Way,
,حَدِيث,"They have taken their oaths as a cover, so they averted [people] from the way of Allah. (63:2)",حَدِيثٍ
4:140,"فَلَا تَقۡعُدُواْ مَعَهُمۡ حَتَّىٰ يَخُوضُواْ فِي حَدِيثٍ غَيۡرِهِۦ ","Indeed, your Lord is most knowing of who has gone astray from His way, and He is most knowing of the [rightly] guided. (68:7)",ٱلۡحَدِيثِ
18:6,"فَلَعَلَّكَ بَٰخِعٞ نَّفۡسَكَ عَلَىٰٓ ءَاثَٰرِهِمۡ إِن لَّمۡ يُؤۡمِنُواْ بِهَٰذَا ٱلۡحَدِيثِ أَسَفًا ",Ways,
,طَيِّب,"And Allah has made for you the earth an expanse (19) That you may follow therein roads of passage.' "" (71:19-20)",طَيِّبَةٗ
14:24,"أَلَمۡ تَرَ كَيۡفَ ضَرَبَ ٱللَّهُ مَثَلٗا كَلِمَةٗ طَيِّبَةٗ كَشَجَرَةٖ طَيِّبَةٍ ",Path,طَيِّبٗا
2:168,"كُلُواْ مِمَّا فِي ٱلۡأَرۡضِ حَلَٰلٗا طَيِّبٗا وَلَا تَتَّبِعُواْ خُطُوَٰتِ ٱلشَّيۡطَٰنِۚ ",Guide us to the straight path - (1:6),
,طَيِّبَٰت,"And indeed, you invite them to a straight path. (23:73)",طَيِّبَٰتِ
2:172,"يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ كُلُواْ مِن طَيِّبَٰتِ مَا رَزَقۡنَٰكُمۡ وَٱشۡكُرُواْ لِلَّهِ ",Mosque,طَيِّبَٰتِ
2:267,"يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ أَنفِقُواْ مِن طَيِّبَٰتِ مَا كَسَبۡتُمۡ ",turn your face toward al-Masjid al-Haram (sacred mosque). (2:150),
,"أَجۡر ",Mosques,أَجۡرٌ
3:172,"لِلَّذِينَ أَحۡسَنُواْ مِنۡهُمۡ وَٱتَّقَوۡاْ أَجۡرٌ عَظِيمٌ ",It is not for the polytheists to maintain the mosques of Allah [while] witnessing against themselves with disbelief. (9:17),
,أُجُور,Trial,أُجُورَكُمۡ
3:185,"وَإِنَّمَا تُوَفَّوۡنَ أُجُورَكُمۡ يَوۡمَ ٱلۡقِيَٰمَةِۖ ","But the two angels do not teach anyone unless they say, ""We are a trial, so do not disbelieve [by practicing magic]."" (2:102)",أُجُورَهُمۡ
35:30,"لِيُوَفِّيَهُمۡ أُجُورَهُمۡ وَيَزِيدَهُم مِّن فَضۡلِهِۦ ",And We have not made their number except as a trial for those who disbelieve - that those who were given the Scripture will be convinced (74:31),
,"يَوۡم ",Meeting,يَوۡمِ
1:4,"مَٰلِكِ يَوۡمِ ٱلدِّينِ ","Those will have lost who deny the meeting with Allah, (6:31)",ٱلۡيَوۡمَ
2:249,"قَالُواْ لَا طَاقَةَ لَنَا ٱلۡيَوۡمَ بِجَالُوتَ وَجُنُودِهِۦۚ ",So today We will forget them just as they forgot the meeting of this Day of theirs and for having rejected Our verses. (7:51),بِٱلۡيَوۡمِ
2:8,"وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ ",Relatives,
,أَيَّام,"Worship Allah and associate nothing with Him, and to parents do good, and to relatives, orphans, (4:36)",أَيَّامٗا
2:80,"وَقَالُواْ لَن تَمَسَّنَا ٱلنَّارُ إِلَّآ أَيَّامٗا مَّعۡدُودَةٗۚ  ",And what Allah restored to His Messenger from the people of the towns - it is for Allah and for the Messenger and for [his] near relatives (59:7),
,يَوۡمَئِذٍ,Parents,يَوۡمَئِذٍ
7:8,"وَٱلۡوَزۡنُ يَوۡمَئِذٍ ٱلۡحَقُّۚ ","And [recall] when We took the covenant from the Children of Israel, [enjoining upon them], ""Do not worship except Allah; and to parents do good (2:83)",يَوۡمَئِذٖ
18:99,وَتَرَكۡنَا بَعۡضَهُمۡ يَوۡمَئِذٖ يَمُوجُ فِي بَعۡضٖۖ ,"Worship Allah and associate nothing with Him, and to parents do good, and to relatives, orphans, (4:36)",
,ٱلۡقِيَٰمَة,Mother,ٱلۡقِيَٰمَةِ
2:113,"فَٱللَّهُ يَحۡكُمُ بَيۡنَهُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ فِيمَا كَانُواْ فِيهِ يَخۡتَلِفُونَ ","And We inspired to the mother of Moses, ""Suckle him; (28:7)",ٱلۡقِيَٰمَةِ
4:87,"لَيَجۡمَعَنَّكُمۡ إِلَىٰ يَوۡمِ ٱلۡقِيَٰمَةِ لَا رَيۡبَ فِيهِۗ ",And the heart of Moses' mother became empty [of all else]. (28:10),
,ٱلسَّاعَة,Father/ O father,ٱلسَّاعَةُ
6:31,حَتَّىٰٓ إِذَا جَآءَتۡهُمُ ٱلسَّاعَةُ بَغۡتَةٗ قَالُواْ يَٰحَسۡرَتَنَا,"She said, ""Indeed, my father invites you that he may reward you for having watered for us."" (28:25)",سَاعَةٗ
7:34,"فَإِذَا جَآءَ أَجَلُهُمۡ لَا يَسۡتَأۡخِرُونَ سَاعَةٗ وَلَا يَسۡتَقۡدِمُونَ ","One of the women said, ""O my father, hire him. Indeed, the best one you can hire is the strong and the trustworthy."" (28:26)",سَاعَةِ
9:117,"لَّقَد تَّابَ ٱللَّهُ عَلَى ٱلنَّبِيِّ وَٱلۡمُهَٰجِرِينَ وَٱلۡأَنصَارِ ٱلَّذِينَ ٱتَّبَعُوهُ فِي سَاعَةِ ٱلۡعُسۡرَةِ ",Forefathers/ Ancestors,
,أَجَل,"And when it is said to them, ""Follow what Allah has revealed,"" they say, ""Rather, we will follow that which we found our fathers doing/ upon."" (2:170)",أَجَلٞۖ
7:34,"وَلِكُلِّ أُمَّةٍ أَجَلٞۖ فَإِذَا جَآءَ أَجَلُهُمۡ لَا يَسۡتَأۡخِرُونَ سَاعَةٗ ","they say, ""Rather, we will follow that upon which we found our fathers."" (31:21)",أَجَلٍ
7:135,"فَلَمَّا كَشَفۡنَا عَنۡهُمُ ٱلرِّجۡزَ إِلَىٰٓ أَجَلٍ هُم بَٰلِغُوهُ إِذَا هُمۡ يَنكُثُونَ ",(Spouse) Husband/ Wife,
,مُسَمَّى,"And We said, ""O Adam, dwell, you and your wife, in Paradise (2:35)",مُّسَمًّى
6:2,"ثُمَّ قَضَىٰٓ أَجَلٗاۖ وَأَجَلٞ مُّسَمًّى عِندَهُۥ ",It is He who created you from one soul and created from it its mate that he might dwell in security with her. (7:189) ,مُّسَمّٗى
2:282,"يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ إِذَا تَدَايَنتُم بِدَيۡنٍ إِلَىٰٓ أَجَلٖ مُّسَمّٗى فَٱكۡتُبُوهُ ",Man,
,حِسَاب,"Have the people been amazed that We revealed [revelation] to a man from among them, (10:2)",ٱلۡحِسَابِ
2:202,أُوْلَٰٓئِكَ لَهُمۡ نَصِيبٞ مِّمَّا كَسَبُواْۚ وَٱللَّهُ سَرِيعُ ٱلۡحِسَابِ,"And if We had made him an angel, We would have made him [appear as] a man, (6:9)",ٱلۡحِسَابِ
3:19,"وَمَن يَكۡفُرۡ بِـَٔايَٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِيعُ ٱلۡحِسَابِ ",Woman,
,ٱلۡأٓخِرَة,"Indeed, I found [there] a woman ruling them, and she has been given of all things, (27:23)",بِٱلۡأٓخِرَةِ
2:4,"وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ "," Wife",ٱلۡأٓخِرَةِ
